project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wiktionary	wuu	71239	47	34374	1992	6	0	0	Wt/wuu
Wikipedia	grc	35081	1366	4574	2983	145	8742	-3460	Wp/grc
Wiktionary	kbd	33225	38	13372	4974	9	7541141	-2304	Wt/kbd
Wiktionary	lmo	28907	186	8569	3118	21	0	0	Wt/lmo
Wikipedia	ami	28874	200	1564	2647	28	0	0	Wp/ami
Wikipedia	khw	28208	461	10504	2892	98	6682	-219	Wp/khw
Wikipedia	tly	27640	427	8284	3061	56	4954	-3107	Wp/tly
Wikipedia	arq	26435	941	1551	6201	264	255746	-69985	Wp/arq
Wikipedia	mnc	21943	209	4295	1558	41	16804	-4943	Wp/mnc
Wikipedia	bgn	15355	210	8112	2971	33	1041	-435	Wp/bgn
Wiktionary	mnc	15191	38	7537	376	5	0	-18	Wt/mnc
Wikipedia	guw	14826	56	793	3228	21	0	0	Wp/guw
Wikipedia	nys	14063	246	1039	1080	36	2	-15	Wp/nys
Wikipedia	fit	12605	139	1962	379	13	0	0	Wp/fit
Wikipedia	sli	11734	268	1868	931	51	0	-18	Wp/sli
Wikipedia	cnr	11516	288	2155	747	43	3478	-2678	Wp/cnr
Wikipedia	akz	11446	66	2710	1289	5	64	-9	Wp/akz
Wiktionary	war	11442	48	10481	1362	8	6	-12	Wt/war
Wikipedia	kcg	10842	96	1206	1232	16	9644	-2646	Wp/kcg
Wikipedia	kjh	10698	179	2871	1393	34	18654	-8417	Wp/kjh
Wikipedia	sdc	10279	133	1923	827	18	56472	-3926	Wp/sdc
Wiktionary	guw	9665	27	1222	2017	15	103422	-5839	Wt/guw
Wikipedia	blk	9532	111	2477	931	15	1444099	-2349	Wp/blk
Wikipedia	cop	9446	162	2268	357	21	147	-144	Wp/cop
Wikipedia	yua	9230	368	1470	896	37	2601	-27	Wp/yua
Wiktionary	ig	9206	260	2117	661	21	185554	-22701	Wt/ig
Wikipedia	zgh	9166	418	1693	1054	75	108	-6	Wp/zgh
Wikipedia	liv	9111	230	1328	821	33	0	-21	Wp/liv
Wiktionary	sat	8941	36	1277	623	9	1920984	-65069	Wt/sat
Wikivoyage	ar	8824	1003	1787	673	106	85	-131	Wy/ar
Wikipedia	ryu	8733	324	3108	632	43	572720	-48582	Wp/ryu
Wiktionary	pms	8587	66	3095	673	12	1042	-90	Wt/pms
Wikipedia	krl	8518	311	2504	966	57	87	-8	Wp/krl
Wikinews	hu	8462	313	1389	764	44	119	-30	Wn/hu
Wiktionary	sco	8311	701	1847	332	94	0	0	Wt/sco
Wikipedia	qug	8255	96	2126	776	14	268	-8	Wp/qug
Wikipedia	enm	7995	716	1100	1019	85	64945	-1836	Wp/enm
Wikivoyage	diq	7598	114	1914	410	19	67	-81	Wy/diq
Wikipedia	nog	7386	90	1233	607	16	9614	-1351	Wp/nog
Wikinews	az	7384	95	2203	1195	22	285	-174	Wn/az
Wikipedia	lki	7078	80	3459	145	14	530	-568	Wp/lki
Wikipedia	tvx	6847	15	2156	874	4	0	-24	Wp/tvx
Wikiquote	pnb	6512	73	620	886	17	25	-3	Wq/pnb
Wikinews	cdo	6452	53	1140	506	7	0	0	Wn/cdo
Wikipedia	hil	6406	137	2227	756	19	18	-1128	Wp/hil
Wikipedia	kum	6365	132	1029	433	28	388	-75	Wp/kum
Wikipedia	tzm	6266	350	973	605	43	43	-21	Wp/tzm
Wikipedia	vmf	6082	662	722	636	76	3414	-48	Wp/vmf
Wikinews	ur	6059	48	3133	1965	11	109235	-112474	Wn/ur
Wikipedia	pwn	6003	73	186	279	12	0	0	Wp/pwn
Wikipedia	anp	5965	204	2231	791	30	487871	-57450	Wp/anp
Wikivoyage	id	5695	135	1351	912	28	92707	-28880	Wy/id
Wiktionary	ary	5589	78	1557	327	18	0	-3	Wt/ary
Wikipedia	qwh	5550	90	1007	132	10	160	-15	Wp/qwh
Wikipedia	guc	5494	233	713	206	21	768	-121	Wp/guc
Wikipedia	kiu	5346	121	1153	495	19	5	-21	Wp/kiu
Wiktionary	tcy	5311	33	1293	414	10	6007	-30	Wt/tcy
Wikipedia	rif	5270	329	611	213	31	5	-3	Wp/rif
Wiktionary	azb	5184	29	3888	884	4	1	-78	Wt/azb
Wikipedia	btm	5053	193	2399	747	30	5380	-631	Wp/btm
Wikipedia	arn	5002	289	729	422	40	765	-544	Wp/arn
Wikipedia	brh	4942	142	1459	111	10	0	0	Wp/brh
Wiktionary	ba	4908	45	1534	761	7	0	0	Wt/ba
Wikipedia	bbc	4844	116	883	436	19	1243	-205	Wp/bbc
