Project	Language Code	Average Edits per Month	Average Editors per Month	Edits (all time)	Editors (all time)	Pages (all time)	Bytes added (previous month)	Bytes removed (previous month)
Wikipedia	dtp	1267	31	7773	112	1898	541835.0	-13048.0
Wikiquote	ms	167	18	1636	90	682	54020.0	0.0
Wikipedia	nr	190	14	741	42	147	2670.0	-11.0
Wikipedia	kus	202	13	9532	66	1385	30247.0	-88.0
Wikipedia	knc	349	10	12473	75	1015	52288.0	-921.0
Wikipedia	btm	164	9	6435	132	2075	19618.0	-308.0
Wikipedia	mos	174	9	23210	112	1427	4224.0	0.0
Wikiquote	gor	170	9	628	12	81	83897.0	-9658.0
Wikipedia	cak	17	9	1339	121	280	16776.0	-83.0
Wikipedia	rsk	161	8	2153	23	314	169607.0	-9293.0
Wikipedia	igl	396	8	22502	81	722	64746.0	-9199.0
Wikinews	shn	425	8	4000	17	2082	464622.0	-10447.0
Wikipedia	syl	209	8	12476	66	2513	186157.0	-152.0
Wikipedia	kge	1729	8	10053	27	2205	93737.0	-6401.0
Wikivoyage	cs	391	8	4609	132	672	38401.0	-1115.0
Wikipedia	bew	501	7	12070	93	2842	12554.0	-784.0
Wikiquote	ha	299	7	4499	41	826	21513.0	-658.0
Wikivoyage	diq	97	7	8759	90	1903	3240.0	-167.0
Wiktionary	kaa	1233	7	11086	26	5497	792802.0	-3940.0
Wiktionary	mad	198	7	6329	22	5059	124442.0	-1560.0
Wikipedia	bdr	154	7	2216	47	928	1003.0	0.0
Wikipedia	bol	46	7	1705	44	469	0.0	0.0
Wikipedia	cnr	120	6	12963	146	2063	4278.0	-5.0
Wikipedia	grc	231	6	23873	311	3755	145985.0	-1554.0
Wikipedia	lua	204	6	749	21	234	18110.0	-3048.0
Wikipedia	nup	327	6	3239	29	399	30653.0	-427.0
Wiktionary	ary	73	6	4445	28	1832	40876.0	-745.0
Wikipedia	sdc	44	6	18211	94	2439	285.0	-241.0
Wikivoyage	id	381	6	17851	137	2484	2508.0	-148.0
Wikipedia	mnc	54	5	22118	165	2899	8817.0	-90.0
Wikiquote	chy	10	5	17	8	3	1430.0	-3.0
Wikinews	syl	160	5	4638	23	1033	185297.0	-24180.0
Wikipedia	rif	30	5	3818	120	496	43.0	-26.0
Wikipedia	na	9	5	53574	1070	2289	0.0	0.0
Wikivoyage	syl	339	5	2852	19	591	52913.0	-1453.0
Wikipedia	rki	116	5	7306	47	2435	68441.0	-2295.0
Wikivoyage	hbs	51	5	3141	35	254	259533.0	-794.0
Wikipedia	tdd	113	5	2522	36	759	134915.0	-109.0
Wikibooks	syl	130	4	1997	17	390	67960.0	-492.0
Wikipedia	jje	16	4	4000	59	951	0.0	-1574.0
Wikipedia	arq	9	4	26889	725	1329	86.0	-1291.0
Wikipedia	sty	23	4	1935	65	300	0.0	0.0
Wikipedia	ddn	11	4	256	32	73	341.0	0.0
Wikipedia	kck	95	4	1006	20	395	23285.0	-75.0
Wikipedia	ppl	56	4	3372	93	428	16877.0	-227.0
Wikivoyage	ar	7	4	7885	384	1600	1143.0	-1.0
Wiktionary	syl	137	4	3452	17	1956	19296.0	-227.0
Wikipedia	ann	40	4	2522	41	429	6851.0	-15.0
Wiktionary	tcy	37	4	7393	37	2608	8692.0	-5.0
Wikipedia	apc	52	4	784	41	149	5814.0	-440.0
Wikipedia	sro	36	4	6644	25	1189	1118.0	0.0
Wikibooks	nia	1159	4	9599	39	2153	56989.0	-6905.0
Wikiquote	syl	233	4	2213	14	479	62779.0	-301.0
Wikipedia	ojs	33	3	36	4	23	274.0	0.0
Wiktionary	bto	92	3	670	20	213	2154.0	-56.0
Wiktionary	shi	55	3	1566	22	506	0.0	0.0
Wikipedia	chn	575	3	2844	34	314	112113.0	-6214.0
Wiktionary	ht	308	3	1699	37	554	4559.0	-18.0
Wikipedia	cop	43	3	9508	96	1691	3558.0	-499.0
Wikipedia	aae	32	3	1351	13	369	3657.0	-173.0
Wikipedia	amu	35	3	35	3	23	0.0	0.0
Wikipedia	ryu	5	3	10631	207	2976	190.0	-1283.0
Wikipedia	tun	21	3	163	12	28	2207.0	-15.0
Wikiquote	sh	19	3	250	13	73	103.0	-741.0
Wikibooks	bhi	5	3	6	4	3	41.0	0.0
Wikipedia	ain	76	3	1398	70	181	179.0	-22.0
Wikivoyage	si	132	3	895	10	279	22397.0	-678.0
Wiktionary	knc	172	3	179	3	38	105.0	-7.0
Wikivoyage	th	14	3	2485	58	317	1499.0	0.0
Wikipedia	bcc	10	3	5113	94	1932	57552.0	-36.0
Wikipedia	kri	484	3	2372	57	1323	197869.0	-11303.0
Wikipedia	pey	86	3	261	6	60	0.0	0.0
Wiktionary	gcf	20	3	190	10	90	174.0	0.0
Wikipedia	sdh	30	3	3601	62	928	17.0	0.0
Wikipedia	khw	10	3	27929	259	10022	366.0	-18.0
Wiktionary	sat	5	3	10678	41	2134	0.0	-28.0
Wiktionary	guc	60	3	1525	46	689	4752.0	-3568.0
Wikivoyage	sn	2	2	22	3	5	0.0	0.0
Wikipedia	goh	256	2	1297	35	351	0.0	0.0
Wikiquote	tn	25	2	117	9	45	86.0	0.0
Wikivoyage	yue	6	2	391	40	134	356.0	0.0
Wiktionary	sco	2	2	6215	297	1734	0.0	0.0
Wikipedia	brh	5	2	4580	68	1234	43.0	0.0
Wikipedia	fit	2	2	10866	85	1840	529.0	-1.0
Wikipedia	lkt	2	2	1466	67	321	0.0	-31.0
Wikibooks	om	4	2	33	6	8	145.0	-30.0
Wikiquote	or	4	2	1806	43	267	135.0	-23.0
Wikivoyage	af	118	2	138	5	80	0.0	0.0
Wikipedia	wym	252	2	1684	57	229	13.0	-54.0
Wikipedia	nit	20	2	2083	15	201	192727.0	-677.0
Wikinews	cdo	10	2	6697	40	1065	43.0	0.0
Wikipedia	dar	2	2	2932	66	564	2646.0	-304.0
Wikipedia	mnp	38	2	1032	32	368	0.0	0.0
Wikipedia	oka	2	2	265	13	77	0.0	0.0
Wikipedia	lou	3	2	190	4	60	2765.0	-259.0
Wikiquote	pa	3	2	224	20	52	5.0	0.0
Wikipedia	ars	7	2	7	2	5	0.0	0.0
Wikipedia	xkv	10	2	126	11	53	40355.0	0.0
Wikivoyage	sr	3	2	298	18	53	0.0	0.0
Wiktionary	os	7	2	45	13	20	0.0	0.0
