Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	dtp	Wp/dtp	8508	115	67321	-4408	2000	741	20
Wikiquote	ms	Wq/ms	1770	92	101719	-37	745	177	19
Wikipedia	cak	Wp/cak	1386	131	39676	-9	298	20	13
Wikipedia	nup	Wp/nup	4251	43	44057	-50	569	351	13
Wikipedia	rsk	Wp/rsk	2954	26	312231	-13267	381	319	12
Wikipedia	nr	Wp/nr	820	47	15186	-1364	174	156	12
Wiktionary	mad	Wt/mad	6795	22	113947	-669	5348	304	12
Wikiquote	gor	Wq/gor	1805	17	74213	-2027	219	377	10
Wikipedia	btm	Wp/btm	6745	137	22789	-2628	2089	201	10
Wikinews	shn	Wn/shn	4741	18	420243	-8132	2223	492	9
Wikipedia	knc	Wp/knc	13344	76	13822	-1346	1265	379	9
Wiktionary	kaa	Wt/kaa	11086	26	0	0	5497	1637	9
Wikivoyage	cs	Wy/cs	5079	135	35890	-6097	693	358	9
Wikipedia	kus	Wp/kus	9537	66	0	0	1386	61	9
Wikipedia	ppl	Wp/ppl	3486	99	142	-3	445	77	8
Wikipedia	syl	Wp/syl	12676	69	176294	-364	2523	159	8
Wikipedia	grc	Wp/grc	23984	310	10666	-27	3755	137	7
Wiktionary	guc	Wt/guc	1983	50	825	-2393	753	193	7
Wikivoyage	id	Wy/id	18043	141	18699	-4973	2505	76	7
Wikipedia	kge	Wp/kge	11144	31	282366	-71131	2271	1040	7
Wikipedia	lua	Wp/lua	910	22	746	-8	287	151	6
Wikipedia	rki	Wp/rki	7699	47	299166	-804	2512	140	6
Wikipedia	bol	Wp/bol	1708	46	43	0	469	57	6
Wikipedia	mnc	Wp/mnc	22188	166	3033	-138	2900	53	6
Wikipedia	mjx	Wp/mjx	128	6	266166	-98689	40	128	6
Wikipedia	bew	Wp/bew	12070	93	0	0	2842	224	6
Wikipedia	kri	Wp/kri	2373	58	0	0	1323	581	5
Wikiquote	syl	Wq/syl	2450	15	39371	-165	500	178	5
Wiktionary	syl	Wt/syl	3551	19	21147	-46	2003	87	5
Wikipedia	ddn	Wp/ddn	256	32	0	0	73	16	5
Wikipedia	isv	Wp/isv	115	5	184640	-2467	62	110	5
Wikivoyage	syl	Wy/syl	3108	20	67729	-732	639	316	5
Wikipedia	sdc	Wp/sdc	18242	94	3318	-29	2442	9	5
Wikivoyage	hbs	Wy/hbs	3208	37	12119	-25846	254	56	5
Wikipedia	tdd	Wp/tdd	3122	38	298723	-31401	864	164	5
Wiktionary	ary	Wt/ary	4698	28	18691	-5237	1869	126	5
Wikipedia	cnr	Wp/cnr	12982	148	402	-263	2064	73	4
Wikipedia	rif	Wp/rif	3822	121	0	0	497	15	4
Wikipedia	bdr	Wp/bdr	2466	47	379740	-1794	989	91	4
Wikipedia	vmf	Wp/vmf	5410	276	11827	-328	395	5	4
Wikibooks	nia	Wb/nia	9155	40	11219	-758	2036	146	4
Wikipedia	khw	Wp/khw	27954	262	984	-211	10022	12	4
Wikipedia	chn	Wp/chn	3493	38	20649	-132	346	574	4
Wikipedia	acm	Wp/acm	349	12	0	0	123	22	4
Wikipedia	igl	Wp/igl	22505	82	0	0	722	99	4
Wikinews	syl	Wn/syl	4742	24	161224	0	1048	120	4
Wikivoyage	diq	Wy/diq	8822	91	43	0	1903	66	4
Wikiquote	ha	Wq/ha	5253	42	115117	-1596	916	256	4
Wikipedia	jje	Wp/jje	4004	62	306	0	951	4	4
Wiktionary	bto	Wt/bto	682	20	0	0	223	41	4
Wikibooks	syl	Wb/syl	2194	18	100636	-838	420	119	4
Wikipedia	iba	Wp/iba	823	45	1104056	-3349	258	106	3
Wikinews	id	Wn/id	1344	76	1607	0	351	10	3
Wikipedia	jax	Wp/jax	765	29	29088	-467	143	21	3
Wikipedia	mag	Wp/mag	6335	12	2009484	-15873	2495	1073	3
Wikipedia	ann	Wp/ann	2568	41	4000	0	433	31	3
Wikinews	bn	Wn/bn	6716	65	171237	-65386	1563	319	3
Wikivoyage	ar	Wy/ar	7906	386	554	-22	1600	22	3
Wikipedia	kck	Wp/kck	1027	20	1321	0	403	118	3
Wikinews	ka	Wn/ka	1887	36	0	0	610	5	3
Wikipedia	mos	Wp/mos	23269	113	7986	-1	1427	32	3
Wikiquote	sh	Wq/sh	255	14	0	-430	73	12	3
Wikipedia	ojb	Wp/ojb	838	26	19	-5	189	33	3
Wikipedia	ryu	Wp/ryu	10645	209	1473	-44	2978	4	3
Wikipedia	grt	Wp/grt	9	3	691	-68	3	9	3
Wikipedia	wym	Wp/wym	1684	57	0	0	229	255	3
Wikipedia	ekp	Wp/ekp	10	4	692	0	5	8	3
Wiktionary	tcy	Wt/tcy	7415	37	0	0	2613	19	3
Wikiquote	sw	Wq/sw	774	44	86	0	508	61	3
Wikipedia	apc	Wp/apc	790	41	1128	0	149	22	3
Wikipedia	nit	Wp/nit	2157	16	17148	-411	211	83	3
Wikipedia	ars	Wp/ars	7	2	0	0	5	7	2
Wiktionary	knc	Wt/knc	191	4	332	0	43	63	2
Wikipedia	blc	Wp/blc	915	14	0	0	171	144	2
Wikipedia	goh	Wp/goh	1297	35	0	0	351	256	2
Wikivoyage	th	Wy/th	2528	59	28473	-13143	328	11	2
Wikipedia	xkv	Wp/xkv	132	11	0	0	54	11	2
Wikipedia	kai	Wp/kai	731	14	0	0	203	2	2
Wikibooks	skr	Wb/skr	714	29	147	0	140	4	2
Wikiquote	pnb	Wq/pnb	6493	54	0	0	612	3	2
Wikipedia	arn	Wp/arn	4739	135	4474	-174	625	8	2
Wikipedia	suz	Wp/suz	2	2	0	0	2	2	2
Wikipedia	tun	Wp/tun	203	12	191	-74	29	28	2
Wikipedia	hoc	Wp/hoc	431	36	52981	-15729	116	13	2
Wikibooks	gom	Wb/gom	6	2	0	0	4	6	2
Wikipedia	wls	Wp/wls	3606	44	86	-129	784	6	2
Wiktionary	ht	Wt/ht	1705	37	0	0	557	46	2
Wikipedia	bgc	Wp/bgc	768	17	16561	0	617	4	2
Wiktionary	mzn	Wt/mzn	129	17	0	0	69	2	2
Wiktionary	tyz	Wt/tyz	23	2	0	0	11	12	2
Wikivoyage	ca	Wy/ca	1862	74	42	0	134	4	2
Wikivoyage	ko	Wy/ko	3863	147	4556	-1115	476	11	2
Wikipedia	fvr	Wp/fvr	172	8	0	0	59	5	2
Wikivoyage	si	Wy/si	947	11	31994	0	295	59	2
Wikibooks	cdo	Wb/cdo	228	8	0	0	78	23	2
Wikiquote	ckb	Wq/ckb	260	14	0	0	62	5	2
Wikipedia	mh	Wp/mh	589	64	0	0	124	2	2
Wikipedia	mrh	Wp/mrh	1077	22	0	0	366	57	2
Wikipedia	nog	Wp/nog	9674	66	0	0	1126	2	2
Wiktionary	gil	Wt/gil	61	2	28	-28	44	61	2
Wikivoyage	yue	Wy/yue	391	40	0	0	134	5	2
Wikipedia	oka	Wp/oka	265	13	0	0	77	2	2
Wiktionary	lrc	Wt/lrc	8	2	0	0	6	8	2
Wikipedia	brh	Wp/brh	4582	68	0	0	1234	3	2
Wikipedia	cia	Wp/cia	13	2	0	0	8	13	2
Wikibooks	as	Wb/as	705	35	6	0	198	5	2
Wikipedia	ikt	Wp/ikt	70	2	0	0	50	70	2
Wikipedia	yah	Wp/yah	38	12	121	-128	20	2	2
Wikinews	ms	Wn/ms	3009	58	650326	-6882	783	179	2
Wikivoyage	gu	Wy/gu	61	10	0	0	19	5	2
Wikivoyage	ml	Wy/ml	1941	64	0	0	257	11	2
Wikipedia	tzm	Wp/tzm	5186	115	156	0	832	2	2
Wikipedia	ain	Wp/ain	1407	71	597	0	182	30	2
Wikipedia	bkm	Wp/bkm	7	2	0	0	1	7	2
Wiktionary	zea	Wt/zea	9593	53	35484	-147	3253	37	2
Wikipedia	sla	Wp/sla	46	7	0	0	1	2	2
Wikipedia	cop	Wp/cop	9750	96	18803	-1403	1715	102	2
Wikivoyage	da	Wy/da	2954	64	0	0	472	2	2
Wikivoyage	la	Wy/la	577	21	52	0	95	2	2
Wikipedia	wsg	Wp/wsg	1657	13	35480	-494	182	229	2
Wikipedia	jpr	Wp/jpr	3	2	0	0	1	3	2
Wikipedia	krl	Wp/krl	9253	171	20	0	2023	2	2
Wikiquote	grc	Wq/grc	409	19	0	0	56	48	2
Wikipedia	lou	Wp/lou	191	5	1	0	60	27	2
Wikiquote	or	Wq/or	1804	42	0	0	266	4	2
Wikipedia	pau	Wp/pau	228	18	0	0	47	11	2
Wikipedia	bgn	Wp/bgn	19484	153	1	0	7802	5	2
Wikivoyage	co	Wy/co	65	8	12	0	12	4	2
Wikivoyage	kri	Wy/kri	31	2	0	0	8	31	2
Wikibooks	ckb	Wb/ckb	16	9	0	0	4	6	2
Wiktionary	bew	Wt/bew	1322	13	100182	-311	640	147	2
Wikivoyage	pa	Wy/pa	86	9	112088	-2135	38	24	2
Wikibooks	bcl	Wb/bcl	182	11	35051	-8989	73	16	2
Wikipedia	yrl	Wp/yrl	731	41	2547	-1054	155	23	2
Wikipedia	kiu	Wp/kiu	5252	93	0	0	1102	4	2
Wikipedia	kzp	Wp/kzp	176	8	0	0	41	10	2
Wikipedia	mak	Wp/mak	1547	39	24	-55	410	3	2
Wikipedia	aoa	Wp/aoa	7	2	0	0	2	7	2
Wikipedia	bcc	Wp/bcc	5115	94	86	0	1932	10	2
Wikipedia	qug	Wp/qug	8455	70	89	0	1325	8	2
Wikivoyage	wym	Wy/wym	12	2	0	0	3	12	2
Wikipedia	isk	Wp/isk	22	2	4076	-3	16	19	2
Wikibooks	mni	Wb/mni	491	8	0	-2607	250	37	2
Wikinews	cdo	Wn/cdo	6697	40	0	0	1065	6	2
Wikipedia	ase	Wp/ase	1583	37	21	0	361	2	2
Wiktionary	lbe	Wt/lbe	2	2	0	0	2	2	2
Wikipedia	cho	Wp/cho	980	50	113	0	126	24	2
Wikibooks	ary	Wb/ary	5	2	0	0	2	5	2
Wikibooks	syc	Wb/syc	18	5	0	0	3	2	2
Wikipedia	kum	Wp/kum	6708	81	201	0	838	6	2
Wikipedia	na	Wp/na	53587	1074	41	-22	2292	4	2
Wiktionary	chy	Wt/chy	86	2	476	0	60	43	2
Wikipedia	arq	Wp/arq	26896	725	145	0	1329	4	2
Wikipedia	sli	Wp/sli	10588	131	15301	-2	1571	25	2
Wikipedia	cpx	Wp/cpx	5893	56	0	-63	2658	3	2
Wikipedia	gju	Wp/gju	54	10	1350	0	9	6	2
Wikivoyage	ta	Wy/ta	817	33	0	0	288	2	2
Wikibooks	ht	Wb/ht	25	6	0	0	10	3	2
Wikiquote	pa	Wq/pa	224	20	0	0	52	3	2
Wikinews	si	Wn/si	1175	28	14107	-36	372	94	2
Wikipedia	mxt	Wp/mxt	740	35	0	-18	119	2	2
Wiktionary	ce	Wt/ce	31	6	2856	-126	10	10	2
Wiktionary	wym	Wt/wym	1016	8	1131	-44236	544	383	2
Wikipedia	sip	Wp/sip	6	3	0	-4	2	4	2
Wikipedia	ttt	Wp/ttt	322	24	1144	0	108	15	2
Wikibooks	rue	Wb/rue	5	2	480	-23	2	5	2
Wikipedia	kpy	Wp/kpy	29	7	0	0	7	3	2
Wikiquote	ne	Wq/ne	3307	29	16984	-49	516	4	2
Wikinews	rue	Wn/rue	6	2	162	-26	2	6	2
Wikiquote	tn	Wq/tn	122	10	0	0	46	4	2
Wikipedia	aa	Wp/aa	287	72	5687	0	49	40	2
Wikipedia	bto	Wp/bto	5179	63	2287	0	1898	3	2
Wikipedia	wal	Wp/wal	1257	15	205	0	621	7	2
Wikipedia	yua	Wp/yua	9277	194	0	-23	1277	5	2
Wikipedia	kjh	Wp/kjh	12596	116	15	0	2805	4	2
Wikiquote	chy	Wq/chy	17	8	0	0	3	4	2
Wikipedia	lar	Wp/lar	3	2	101	0	2	3	2
Wikinews	vi	Wn/vi	4551	127	13921	-2	1129	4	2
Wiktionary	ba	Wt/ba	4987	47	0	-8	1537	2	2
Wikipedia	qwh	Wp/qwh	5041	60	58	0	807	3	2
Wikipedia	sdh	Wp/sdh	3605	62	0	0	929	8	2
Wikipedia	sro	Wp/sro	6676	25	6023	0	1195	17	2
Wikipedia	dar	Wp/dar	2749	66	20706	-1108	526	16	2
Wikibooks	mnw	Wb/mnw	160	10	0	0	101	11	2
Wikipedia	kyu	Wp/kyu	10	5	155	-19	5	4	2
Wikiquote	si	Wq/si	1576	16	3638	-49	440	104	2
Wikipedia	aln	Wp/aln	592	51	0	0	130	2	2
Wikipedia	ojs	Wp/ojs	37	5	0	0	23	4	2
Wiktionary	sat	Wt/sat	10681	41	32	0	2136	2	2
Wikipedia	sas	Wp/sas	113	15	0	0	33	3	2
Wikivoyage	az	Wy/az	776	32	0	0	134	2	2
Wikipedia	snk	Wp/snk	2	2	0	0	2	2	2
Wikipedia	csn	Wp/csn	12	2	0	0	5	12	2
Wikivoyage	hu	Wy/hu	776	36	6	-429	238	6	2
Wikipedia	luo	Wp/luo	122	16	94	-94	46	2	2
Wikipedia	oac	Wp/oac	23	8	0	0	8	1	1
Wikipedia	phr	Wp/phr	246	18	985	-20	63	59	1
Wiktionary	rgn	Wt/rgn	38	8	0	0	15	1	1
Wikipedia	chb	Wp/chb	483	9	327	0	69	34	1
Wikivoyage	af	Wy/af	141	7	48	0	80	1	1
Wikipedia	slr	Wp/slr	1341	80	124	0	418	2	1
Wikipedia	crd	Wp/crd	61	11	0	0	12	1	1
Wikivoyage	fit	Wy/fit	8	3	0	0	3	1	1
Wikipedia	tab	Wp/tab	99	32	0	0	16	1	1
Wikipedia	ess	Wp/ess	223	38	0	0	76	1	1
Wikivoyage	lv	Wy/lv	1375	29	0	0	319	1	1
Wikibooks	agx	Wb/agx	1	1	0	0	1	1	1
Wikipedia	tyz	Wp/tyz	197	5	67	-64	43	10	1
Wikibooks	khw	Wb/khw	17	7	0	0	10	4	1
Wikiquote	aa	Wq/aa	4	1	0	0	3	4	1
Wikipedia	ksk	Wp/ksk	26	9	0	0	7	1	1
Wikinews	bcc	Wn/bcc	39	10	0	0	18	1	1
Wikiquote	jv	Wq/jv	265	15	0	0	171	1	1
Wikipedia	ltc	Wp/ltc	8	6	0	0	1	1	1
Wikinews	km	Wn/km	3	2	0	0	1	1	1
Wikipedia	mjy	Wp/mjy	73	5	0	0	18	1	1
Wikinews	skr	Wn/skr	226	20	7361	-2	79	1	1
Wikiquote	yue	Wq/yue	1266	40	11	0	427	5	1
Wikipedia	myr	Wp/myr	9	3	0	0	3	3	1
Wikipedia	aii	Wp/aii	61	10	0	0	12	1	1
Wiktionary	chn	Wt/chn	6	3	0	0	2	1	1
Wikipedia	nxq	Wp/nxq	4	2	0	0	2	1	1
Wiktionary	kab	Wt/kab	1208	36	3	-3	461	3	1
Wikipedia	pcc	Wp/pcc	34	13	998	-117	8	3	1
Wikipedia	bhh	Wp/bhh	109	12	22294	-17	32	11	1
Wiktionary	pms	Wt/pms	9608	32	665	0	2755	3	1
Wikipedia	rmc	Wp/rmc	7041	35	0	0	1718	2	1
Wikipedia	bzj	Wp/bzj	746	18	0	0	242	8	1
Wiktionary	xkv	Wt/xkv	4	2	0	0	1	3	1
Wikipedia	sjd	Wp/sjd	1600	51	30787	-361	313	4	1
Wikivoyage	cy	Wy/cy	131	14	0	0	25	1	1
Wikipedia	elm	Wp/elm	26	7	0	0	8	1	1
Wikivoyage	ky	Wy/ky	55	8	0	0	12	6	1
Wikipedia	gdo	Wp/gdo	218	19	0	0	72	7	1
Wikivoyage	su	Wy/su	86	8	0	0	35	3	1
Wikipedia	jpn	Wp/jpn	82	21	0	0	2	1	1
Wikibooks	sat	Wb/sat	30	6	0	0	12	1	1
Wikipedia	zmi	Wp/zmi	22	4	0	0	5	1	1
Wikinews	arz	Wn/arz	2	2	0	0	2	1	1
Wikipedia	lkt	Wp/lkt	1467	68	4	0	321	1	1
Wikiquote	olo	Wq/olo	1	1	0	-24	1	1	1
Wikipedia	mjd	Wp/mjd	103	11	0	0	18	1	1
Wikinews	sah	Wn/sah	135	8	0	0	31	1	1
Wikiquote	tt	Wq/tt	2226	38	3171	-88	342	6	1
Wikipedia	mvf	Wp/mvf	643	43	0	0	106	2	1
Wikipedia	aae	Wp/aae	1367	14	897	-17	372	12	1
