Project	Language Code	Average Edits per Month	Average Editors per Month	Edits (all time)	Editors (all time)	Pages (all time)	Bytes added (previous month)	Bytes removed (previous month)
Wikipedia	arq	736.0	34.0	25733	682	1549	0.0	0.0
Wikipedia	pcm	1856.0	20.0	10249	88	693	70200.0	-7996.0
Wiktionary	ig	877.0	18.0	10549	248	2445	510.0	-21.0
Wikipedia	blk	651.0	14.0	10860	43	2830	240054.0	-5064.0
Wiktionary	guw	898.0	13.0	10802	27	1358	5804.0	-87.0
Wikipedia	gur	127.0	12.0	1140	50	261	93728.0	-3728.0
Wikiquote	bjn	260.0	11.0	285	12	128	5920.0	-933.0
Wikipedia	ryu	409.0	10.0	8784	183	3283	296725.0	-34380.0
Wikiquote	ig	670.0	10.0	4837	73	2592	180.0	0.0
Wikiquote	as	614.0	9.0	6021	35	812	420617.0	-19477.0
Wikipedia	kcg	620.0	8.0	10598	81	1203	0.0	0.0
Wikipedia	mos	176.0	8.0	536	14	68	7866.0	-4.0
Wiktionary	bjn	146.0	8.0	3233	22	1227	1415.0	-335.0
Wiktionary	kcg	1189.0	8.0	5538	24	170	40517.0	-7058.0
Wikiquote	guw	1555.0	8.0	6989	13	365	123902.0	-1327.0
Wikipedia	sma	61.0	8.0	879	52	255	47.0	0.0
Wikipedia	fat	56.0	7.0	198	14	103	2578.0	-34.0
Wiktionary	kbd	1081.0	7.0	28023	30	15154	1697481.0	-73708.0
Wikipedia	guc	38.0	7.0	5395	121	703	32255.0	-5966.0
Wikipedia	kr	117.0	7.0	542	42	50	15357.0	-766.0
Wikipedia	anp	507.0	7.0	7008	135	2664	880703.0	-43379.0
Wiktionary	ckb	827.0	7.0	3576	26	2189	287365.0	-749.0
Wikipedia	syl	552.0	7.0	2534	34	817	562286.0	-48571.0
Wikipedia	mnc	287.0	7.0	21706	138	4489	37864.0	-1468.0
Wikivoyage	hbs	84.0	6.0	661	13	158	65255.0	-94517.0
Wikipedia	ctg	146.0	6.0	293	13	62	238488.0	-34055.0
Wikiquote	tl	510.0	6.0	5559	46	1934	68777.0	-936.0
Wikipedia	sdc	883.0	6.0	12381	70	2405	138483.0	-1342.0
Wikipedia	vmw	149.0	6.0	1381	78	462	19521.0	-154.0
Wikibooks	shn	156.0	6.0	2401	15	1597	361509.0	-4528.0
Wikiquote	bcl	1543.0	6.0	8296	37	1594	65521.0	-1719.0
Wikiquote	bn	612.0	6.0	6030	51	560	183580.0	-5929.0
Wiktionary	gor	348.0	5.0	3325	16	920	122580.0	-109.0
Wikipedia	tdd	280.0	5.0	1047	15	421	719364.0	-88062.0
Wikipedia	bbc	34.0	5.0	4743	91	866	0.0	0.0
Wiktionary	pwn	64.0	5.0	241	11	89	340.0	0.0
