Project	Language Code	Total edits	Total editors	Total pages	Bytes removed (last 30 days)	Bytes added (last 30 days)	Average monthly edits	Average monthly editors
Wikipedia	dtp	8508	115	2000	-4670.0	183685.0	741	20
Wikiquote	ms	1762	92	738	-35.0	88712.0	177	19
Wikipedia	cak	1381	131	297	-30.0	52811.0	20	13
Wikipedia	nup	4143	42	565	-74.0	65660.0	351	13
Wiktionary	mad	6765	22	5348	-1125.0	121594.0	304	12
Wikipedia	rsk	2788	26	365	-29808.0	266420.0	319	12
Wikipedia	nr	820	47	174	-1369.0	21215.0	156	12
Wikiquote	gor	1506	17	174	-556.0	52011.0	377	10
Wikipedia	btm	6741	137	2089	-2628.0	22641.0	201	10
Wikipedia	kus	9537	66	1386	0.0	0.0	61	9
Wiktionary	kaa	11086	26	5497	0.0	0.0	1637	9
Wikivoyage	cs	5030	135	693	-5831.0	34333.0	358	9
Wikinews	shn	4687	18	2210	-9977.0	471059.0	492	9
Wikipedia	knc	13261	76	1264	-2801.0	15567.0	379	9
Wikipedia	ppl	3485	99	445	-794.0	36392.0	77	8
Wikipedia	syl	12672	69	2523	-331.0	179003.0	159	8
Wiktionary	guc	1983	50	753	-2406.0	1136.0	193	7
Wikipedia	kge	10992	30	2269	-66393.0	252725.0	1040	7
Wikivoyage	id	18021	140	2504	-4973.0	17564.0	76	7
Wikipedia	grc	23983	310	3755	-3220.0	16148.0	137	7
Wikipedia	lua	907	22	285	-2.0	3056.0	151	6
Wikipedia	rki	7675	47	2502	-1879.0	273154.0	140	6
Wikipedia	mnc	22188	166	2900	-138.0	3033.0	53	6
Wikipedia	bol	1707	45	469	0.0	0.0	57	6
Wikipedia	mjx	128	6	40	-103838.0	368412.0	128	6
Wikipedia	bew	12070	93	2842	0.0	0.0	224	6
Wikipedia	kri	2373	58	1323	0.0	0.0	581	5
Wikivoyage	hbs	3205	37	254	-25846.0	17172.0	57	5
Wikipedia	ddn	256	32	73	0.0	0.0	16	5
Wikipedia	isv	111	5	61	-2509.0	213467.0	110	5
Wiktionary	ary	4620	28	1853	-4756.0	7933.0	126	5
Wikiquote	syl	2449	15	500	-219.0	51470.0	178	5
Wikipedia	sdc	18226	94	2441	-224.0	2361.0	9	5
Wiktionary	syl	3550	19	2003	-46.0	21931.0	87	5
Wikipedia	tdd	2971	37	819	-12954.0	178902.0	164	5
Wikivoyage	syl	3071	20	631	-256.0	51996.0	316	5
Wikibooks	syl	2177	18	419	-836.0	95062.0	119	4
Wikipedia	cnr	12982	148	2064	-263.0	428.0	73	4
Wikiquote	ha	5138	42	903	-1708.0	98581.0	256	4
Wikipedia	rif	3822	121	497	0.0	0.0	15	4
Wikivoyage	diq	8822	91	1903	0.0	129.0	66	4
Wiktionary	bto	682	20	223	0.0	0.0	41	4
Wikipedia	bdr	2448	47	978	-1794.0	222932.0	91	4
Wikibooks	nia	9148	40	2035	-756.0	11339.0	146	4
Wikipedia	khw	27950	262	10022	-211.0	849.0	12	4
Wikipedia	chn	3457	37	341	-64.0	13203.0	574	4
Wikipedia	acm	349	12	123	0.0	0.0	22	4
Wikinews	syl	4737	24	1048	0.0	167703.0	120	4
Wikipedia	vmf	5410	276	395	-328.0	11827.0	5	4
Wikipedia	igl	22505	82	722	0.0	0.0	99	4
Wikipedia	jje	4004	62	951	-1096.0	306.0	4	4
Wikipedia	nit	2150	16	210	0.0	24477.0	83	3
Wikiquote	sh	258	15	74	-799.0	0.0	12	3
Wikipedia	iba	713	24	173	-10792.0	680299.0	106	3
Wikinews	id	1344	76	351	-97.0	5226.0	10	3
Wikipedia	wym	1684	57	229	0.0	0.0	255	3
Wikipedia	jax	764	29	143	-1082.0	34931.0	21	3
Wikipedia	mag	6056	12	2352	-19639.0	1605929.0	1073	3
Wikipedia	ann	2554	41	430	0.0	1394.0	31	3
Wikinews	bn	6557	65	1563	-61565.0	196035.0	319	3
Wikiquote	sw	774	44	508	0.0	128.0	61	3
Wiktionary	tcy	7415	37	2613	0.0	27.0	19	3
Wikipedia	kck	1017	20	396	0.0	0.0	118	3
Wikinews	ka	1887	36	610	0.0	6.0	5	3
Wikipedia	mos	23259	113	1427	0.0	7762.0	32	3
Wikipedia	ojb	838	26	189	-5.0	19.0	33	3
Wikipedia	ryu	10641	209	2978	-24.0	1433.0	4	3
Wikipedia	grt	9	3	3	-68.0	691.0	9	3
Wikivoyage	ar	7894	386	1600	0.0	369.0	22	3
Wikipedia	ekp	10	4	5	-42.0	735.0	8	3
Wikipedia	apc	790	41	149	0.0	1128.0	22	3
Wikipedia	kyu	9	4	4	-19.0	155.0	4	2
Wiktionary	bew	1060	10	466	-31.0	7917.0	147	2
Wikipedia	aln	592	51	130	0.0	0.0	2	2
Wikipedia	qwh	5041	60	807	0.0	58.0	3	2
Wikipedia	sdh	3605	62	929	-4.0	258.0	8	2
Wikivoyage	co	63	7	12	0.0	0.0	4	2
Wikipedia	sro	6671	25	1194	0.0	4808.0	17	2
Wikipedia	dar	2749	66	526	-1108.0	20706.0	16	2
Wikivoyage	kri	31	2	8	0.0	0.0	31	2
Wikibooks	mnw	160	10	101	0.0	0.0	11	2
