prefix	edit_count	actor_count	bytes_added_30D	bytes_removed_30D	pages_count	avg_edits_3M	avg_editors_3M
Wp/dtp	8508	115	183685.0	-4670.0	2000	741	20
Wq/ms	1762	92	88712.0	-35.0	738	177	19
Wp/cak	1381	131	52811.0	-30.0	297	20	13
Wp/nup	4143	42	65660.0	-74.0	565	351	13
Wt/mad	6765	22	121594.0	-1125.0	5348	304	12
Wp/rsk	2788	26	266420.0	-29808.0	365	319	12
Wp/nr	820	47	21215.0	-1369.0	174	156	12
Wq/gor	1506	17	52011.0	-556.0	174	377	10
Wp/btm	6741	137	22641.0	-2628.0	2089	201	10
Wp/kus	9537	66	0.0	0.0	1386	61	9
Wt/kaa	11086	26	0.0	0.0	5497	1637	9
Wy/cs	5030	135	34333.0	-5831.0	693	358	9
Wn/shn	4687	18	471059.0	-9977.0	2210	492	9
Wp/knc	13261	76	15567.0	-2801.0	1264	379	9
Wp/ppl	3485	99	36392.0	-794.0	445	77	8
Wp/syl	12672	69	179003.0	-331.0	2523	159	8
Wt/guc	1983	50	1136.0	-2406.0	753	193	7
Wp/kge	10992	30	252725.0	-66393.0	2269	1040	7
Wy/id	18021	140	17564.0	-4973.0	2504	76	7
Wp/grc	23983	310	16148.0	-3220.0	3755	137	7
Wp/lua	907	22	3056.0	-2.0	285	151	6
Wp/rki	7675	47	273154.0	-1879.0	2502	140	6
Wp/mnc	22188	166	3033.0	-138.0	2900	53	6
Wp/bol	1707	45	0.0	0.0	469	57	6
Wp/mjx	128	6	368412.0	-103838.0	40	128	6
Wp/bew	12070	93	0.0	0.0	2842	224	6
Wp/kri	2373	58	0.0	0.0	1323	581	5
Wy/hbs	3205	37	17172.0	-25846.0	254	57	5
Wp/ddn	256	32	0.0	0.0	73	16	5
Wp/isv	111	5	213467.0	-2509.0	61	110	5
Wt/ary	4620	28	7933.0	-4756.0	1853	126	5
Wq/syl	2449	15	51470.0	-219.0	500	178	5
Wp/sdc	18226	94	2361.0	-224.0	2441	9	5
Wt/syl	3550	19	21931.0	-46.0	2003	87	5
Wp/tdd	2971	37	178902.0	-12954.0	819	164	5
Wy/syl	3071	20	51996.0	-256.0	631	316	5
Wb/syl	2177	18	95062.0	-836.0	419	119	4
Wp/cnr	12982	148	428.0	-263.0	2064	73	4
Wq/ha	5138	42	98581.0	-1708.0	903	256	4
Wp/rif	3822	121	0.0	0.0	497	15	4
Wy/diq	8822	91	129.0	0.0	1903	66	4
Wt/bto	682	20	0.0	0.0	223	41	4
Wp/bdr	2448	47	222932.0	-1794.0	978	91	4
Wb/nia	9148	40	11339.0	-756.0	2035	146	4
Wp/khw	27950	262	849.0	-211.0	10022	12	4
Wp/chn	3457	37	13203.0	-64.0	341	574	4
Wp/acm	349	12	0.0	0.0	123	22	4
Wn/syl	4737	24	167703.0	0.0	1048	120	4
Wp/vmf	5410	276	11827.0	-328.0	395	5	4
Wp/igl	22505	82	0.0	0.0	722	99	4
Wp/jje	4004	62	306.0	-1096.0	951	4	4
Wp/nit	2150	16	24477.0	0.0	210	83	3
Wq/sh	258	15	0.0	-799.0	74	12	3
Wp/iba	713	24	680299.0	-10792.0	173	106	3
Wn/id	1344	76	5226.0	-97.0	351	10	3
Wp/wym	1684	57	0.0	0.0	229	255	3
Wp/jax	764	29	34931.0	-1082.0	143	21	3
Wp/mag	6056	12	1605929.0	-19639.0	2352	1073	3
Wp/ann	2554	41	1394.0	0.0	430	31	3
Wn/bn	6557	65	196035.0	-61565.0	1563	319	3
Wq/sw	774	44	128.0	0.0	508	61	3
Wt/tcy	7415	37	27.0	0.0	2613	19	3
Wp/kck	1017	20	0.0	0.0	396	118	3
Wn/ka	1887	36	6.0	0.0	610	5	3
Wp/mos	23259	113	7762.0	0.0	1427	32	3
Wp/ojb	838	26	19.0	-5.0	189	33	3
Wp/ryu	10641	209	1433.0	-24.0	2978	4	3
Wp/grt	9	3	691.0	-68.0	3	9	3
Wy/ar	7894	386	369.0	0.0	1600	22	3
Wp/ekp	10	4	735.0	-42.0	5	8	3
Wp/apc	790	41	1128.0	0.0	149	22	3
Wp/kyu	9	4	155.0	-19.0	4	4	2
Wt/bew	1060	10	7917.0	-31.0	466	147	2
Wp/aln	592	51	0.0	0.0	130	2	2
Wp/qwh	5041	60	58.0	0.0	807	3	2
Wp/sdh	3605	62	258.0	-4.0	929	8	2
Wy/co	63	7	0.0	0.0	12	4	2
Wp/sro	6671	25	4808.0	0.0	1194	17	2
Wp/dar	2749	66	20706.0	-1108.0	526	16	2
Wy/kri	31	2	0.0	0.0	8	31	2
Wb/mnw	160	10	0.0	0.0	101	11	2
Wp/luo	122	16	94.0	-94.0	46	2	2
Wp/ojs	37	5	0.0	0.0	23	4	2
Wp/sas	113	15	0.0	0.0	33	3	2
Wp/snk	2	2	0.0	0.0	2	2	2
Wp/csn	12	2	0.0	0.0	5	12	2
Wy/pa	83	9	112060.0	-2135.0	38	24	2
Wp/yrl	721	41	411.0	-31.0	155	23	2
Wp/ars	7	2	0.0	0.0	5	7	2
Wp/blc	915	14	0.0	0.0	171	144	2
Wp/goh	1297	35	0.0	0.0	351	256	2
Wy/wym	12	2	0.0	0.0	3	12	2
Wp/kai	731	14	0.0	0.0	203	2	2
Wb/skr	714	29	147.0	0.0	140	4	2
Wt/chy	86	2	611.0	0.0	60	43	2
Wp/arn	4739	135	4474.0	-174.0	625	8	2
Wt/lbe	2	2	0.0	0.0	2	2	2
Wp/suz	2	2	60.0	0.0	2	2	2
Wp/hoc	423	36	49550.0	-15694.0	114	13	2
Wb/gom	6	2	0.0	0.0	4	6	2
Wq/pa	224	20	0.0	0.0	52	3	2
Wp/mh	589	64	0.0	0.0	124	2	2
Wp/mrh	1077	22	0.0	0.0	366	57	2
Wt/ce	30	6	2399.0	-126.0	9	10	2
Wp/nog	9674	66	0.0	0.0	1126	2	2
